year,province,race,in_custody_community,avg_length
2016,ON,Aboriginal,Both,1293.768328
2016,QC,Aboriginal,Both,1461.382166
2016,NB,Aboriginal,Both,1361.679487
2016,NS,Aboriginal,Both,1189.213483
2016,National,Other Minority,Both,1572.641557
2016,BC,Other Minority,Both,1642.72315
2016,AB,Other Minority,Both,1459.503268
2016,SK,Other Minority,Both,1443.80198
2016,MB,Other Minority,Both,1600.44086
2016,ON,Other Minority,Both,1702.551563
2016,QC,Other Minority,Both,1475.43769
2016,NB,Other Minority,Both,1243.106383
2016,NS,Other Minority,Both,1135.7
2017,National,Black,Both,1601.232796
2017,BC,Black,Both,1564.052632
2017,AB,Black,Both,1485.51634
2017,SK,Black,Both,1217.73913
2017,MB,Black,Both,1818.555556
2017,ON,Black,Both,1618.078842
2017,QC,Black,Both,1609.134111
2017,NB,Black,Both,1580.910112
2017,NS,Black,Both,1652.82
2017,National,White,Both,1402.937936
2017,BC,White,Both,1347.271101
2017,AB,White,Both,1391.344731
2017,SK,White,Both,1243.220207
2017,MB,White,Both,1448.857923
2017,ON,White,Both,1283.043845
2017,QC,White,Both,1554.483217
2017,NB,White,Both,1399.739229
2017,NS,White,Both,1223.766823
2017,National,Aboriginal,Both,1368.374228
2017,BC,Aboriginal,Both,1319.57173
2017,AB,Aboriginal,Both,1413.220974
2017,SK,Aboriginal,Both,1401.63626
2017,MB,Aboriginal,Both,1415.057576
2017,ON,Aboriginal,Both,1283.860111
2017,QC,Aboriginal,Both,1419.094136
2017,NB,Aboriginal,Both,1243.357143
2017,NS,Aboriginal,Both,1247.079545
2017,National,Other Minority,Both,1544.238767
2017,BC,Other Minority,Both,1653.010283
2017,AB,Other Minority,Both,1388.673913
2017,SK,Other Minority,Both,1363.196319
2017,MB,Other Minority,Both,1595.845361
2017,ON,Other Minority,Both,1646.268841
2017,QC,Other Minority,Both,1448.127726
2017,NB,Other Minority,Both,1302.288889
2017,NS,Other Minority,Both,1168.526316
2018,National,Black,Both,1606.863105
2018,BC,Black,Both,1481.495726
2018,AB,Black,Both,1609.246914
2018,SK,Black,Both,1144.6
2018,MB,Black,Both,1691.179487
2018,ON,Black,Both,1643.147271
2018,QC,Black,Both,1532.117994
2018,NB,Black,Both,1663.357143
2018,NS,Black,Both,1678.740741
2018,National,White,Both,1389.781285
2018,BC,White,Both,1357.601872
2018,AB,White,Both,1359.169138
2018,SK,White,Both,1088.840237
2018,MB,White,Both,1455.440111
2018,ON,White,Both,1287.139111
2018,QC,White,Both,1543.503229
2018,NB,White,Both,1367.344788
2018,NS,White,Both,1249.526235
2018,National,Aboriginal,Both,1364.183453
2018,BC,Aboriginal,Both,1353.431727
2018,AB,Aboriginal,Both,1401.393369
2018,SK,Aboriginal,Both,1388.991706
2018,MB,Aboriginal,Both,1416.537589
2018,ON,Aboriginal,Both,1289.852632
2018,QC,Aboriginal,Both,1338.108659
2018,NB,Aboriginal,Both,1305.475904
2018,NS,Aboriginal,Both,1313.609195
2018,National,Other Minority,Both,1534.841605
2018,BC,Other Minority,Both,1644.750643
2018,AB,Other Minority,Both,1334.891008
2018,SK,Other Minority,Both,1272.176471
2018,MB,Other Minority,Both,1626.629213
2018,ON,Other Minority,Both,1642.066598
2018,QC,Other Minority,Both,1465.059524
2018,NB,Other Minority,Both,1428.327273
2018,NS,Other Minority,Both,1328.170213
2012,National,Black,Both,1571.680506
2012,NU,Aboriginal,Both,850.2
2012,NL,Other Minority,Both,902.5
2013,YU,White,Both,664.75
2013,YU,Aboriginal,Both,1053
2013,NU,Aboriginal,Both,850.2
2013,NL,Other Minority,Both,902.5
2014,NL,White,Both,1294.785714
2014,PE,White,Both,716.5
2014,NW,White,Both,2557
2014,YU,White,Both,664.75
2014,NL,Aboriginal,Both,1234.5
2014,YU,Aboriginal,Both,1053
2014,NU,Aboriginal,Both,1002.125
2014,NL,Other Minority,Both,902.5
2014,PE,Other Minority,Both,731
2015,NL,Black,Both,1067
2015,PE,Black,Both,1096
2015,YU,Black,Both,915
2015,NL,White,Both,1388.878788
2015,PE,White,Both,731.3333333
2015,NW,White,Both,2557
2015,YU,White,Both,664.75
2015,NL,Aboriginal,Both,1308.571429
2015,NW,Aboriginal,Both,1040.6
2015,YU,Aboriginal,Both,1053
2015,NU,Aboriginal,Both,1002.125
2015,NL,Other Minority,Both,1256
2015,PE,Other Minority,Both,731
2015,NW,Other Minority,Both,1270
2016,NL,Black,Both,1067
2016,PE,Black,Both,1096
2016,YU,Black,Both,915
2016,NL,White,Both,1207.636364
2016,PE,White,Both,1024.318182
2016,NW,White,Both,2557
2016,YU,White,Both,664.75
2016,NL,Aboriginal,Both,1141.5
2016,NW,Aboriginal,Both,1121
2016,YU,Aboriginal,Both,1053
2016,NU,Aboriginal,Both,946.25
2016,NL,Other Minority,Both,735
2016,PE,Other Minority,Both,731
2016,NW,Other Minority,Both,1270
2017,NL,Black,Both,1067
2017,PE,Black,Both,1096
2017,YU,Black,Both,915
2017,NL,White,Both,1290.978947
2017,PE,White,Both,1047.73913
2017,NW,White,Both,2557
2017,YU,White,Both,243.6666667
2017,NL,Aboriginal,Both,1356.25
2017,NW,Aboriginal,Both,1318
2017,YU,Aboriginal,Both,821.6666667
2017,NU,Aboriginal,Both,1007.75
2017,NL,Other Minority,Both,1226
2017,PE,Other Minority,Both,731
2017,NW,Other Minority,Both,1270
2018,NL,Black,Both,1067
2018,PE,Black,Both,1096
2018,YU,Black,Both,915
2018,NL,White,Both,1262.45
2018,PE,White,Both,1137.769231
2018,NW,White,Both,2557
2018,YU,White,Both,264.3333333
2018,NL,Aboriginal,Both,980.75
2018,NW,Aboriginal,Both,895.8333333
2018,YU,Aboriginal,Both,943
2018,NU,Aboriginal,Both,2271.25
2018,NL,Other Minority,Both,990.4
2018,NW,Other Minority,Both,1270
